Cells Transmitted,Success Probability
0,0.0
1,0.0
2,0.058000000000000024
3,0.06625
4,0.08546464646464645
5,0.10916666666666666
6,0.10916666666666666
7,0.10916666666666666
8,0.10916666666666666
9,0.385625
10,0.385625
11,0.385625
12,0.385625
13,0.385625
14,0.385625
15,0.385625
16,0.6859999999999999
17,0.6859999999999999
18,0.6859999999999999
19,0.6859999999999999
20,0.6859999999999999
21,0.6859999999999999
22,0.6859999999999999
23,0.6859999999999999
24,0.6859999999999999
25,0.8404166666666665
26,0.8404166666666665
27,0.8404166666666665
28,0.8404166666666665
29,0.8404166666666665
30,0.8404166666666665
31,0.8404166666666665
32,0.8404166666666665
33,0.8404166666666665
34,0.8404166666666665
35,0.8404166666666665
36,0.8949999999999999
37,0.8949999999999999
38,0.8949999999999999
39,0.8949999999999999
40,0.8949999999999999
41,0.8949999999999999
42,0.8949999999999999
43,0.8949999999999999
44,0.8949999999999999
45,0.8949999999999999
46,0.8949999999999999
47,0.8949999999999999
48,0.8949999999999999
49,0.99
50,0.99
51,0.99
52,0.99
53,0.99
54,0.99
55,0.99
56,0.99
57,0.99
58,0.99
59,0.99
60,0.99
61,0.99
62,0.99
63,0.99
64,0.99
65,0.99
66,0.99
67,0.99
68,0.99
69,0.99
70,0.99
71,0.99
72,0.99
73,0.99
74,0.99
75,0.99
76,0.99
77,0.99
78,0.99
79,0.99
80,0.99
81,0.99
82,0.99
83,0.99
84,0.99
85,0.99
86,0.99
87,0.99
88,0.99
89,0.99
90,0.99
91,0.99
92,0.99
93,0.99
94,0.99
95,0.99
96,0.99
97,0.99
98,0.99
99,0.99
100,0.99
101,0.99
102,0.99
103,0.99
104,0.99
105,0.99
106,0.99
107,0.99
108,0.99
109,0.99
110,0.99
111,0.99
112,0.99
113,0.99
114,0.99
115,0.99
116,0.99
117,0.99
118,0.99
119,0.99
120,0.99
121,0.99
122,0.99
123,0.99
124,0.99
125,0.99
126,0.99
127,0.99
128,0.99
129,0.99
130,0.99
131,0.99
132,0.99
133,0.99
134,0.99
135,0.99
136,0.99
137,0.99
138,0.99
139,0.99
140,0.99
141,0.99
142,0.99
143,0.99
144,0.99
145,0.99
146,0.99
147,0.99
148,0.99
149,0.99
150,0.99
151,0.99
152,0.99
153,0.99
154,0.99
155,0.99
156,0.99
157,0.99
158,0.99
159,0.99
